SMILES,Name,Cluster,Center
O=C(Cc1ccc(Br)nc1)NCc1nnn[nH]1,AB25_259755_278990,13,No
Cc1cc(CNc2cn(C(C)C)nn2)nn1C,AB72_239924_241397,40,No
C#Cc1cc(C(=O)Nc2cnnc(C)c2)ccc1Cl,AB22_10992_21434_395699,3,No
Cc1ccc2nc(C=Cc3cnn(C)c3)ccc2c1,AB4_1696128_1697381,13,No
Cn1nc(Br)nc1NN=Cc1cnc2[nH]cc(Br)c2c1,AB3_1481561_1485810,23,No
CC(=O)c1ccc(-c2cn(CCn3cccn3)nn2)cn1,AB231_1296830_1301557_281144,19,No
Cn1nnnc1-c1ccc(NCc2csc(-c3ccccc3)n2)cc1,AB72_239681_240541,32,No
Brc1ccccc1CNCc1nnnn1-c1ccccc1,AB146_800308_806452,37,No
Cc1nnnn1-c1cccc(NCc2ccccn2)c1,AB72_239104_240447,7,No
CCn1cc(CNCc2c(-c3ccccc3)nnn2C)nn1,AB146_802976_809245,22,No
CN(Cc1nnc[nH]1)c1ccc2nnc(-c3ccncc3)n2n1,AB42_774288_781171,7,No
Cc1noc2ncc(C=NNc3cccc4cnccc34)cc12,AB3_1481436_1484525,23,No
Cc1cc(NC(=O)CCCc2ccccn2)cnn1,AB22_10992_15268_156497,4,No
Cn1nncc1C=CC(=O)c1cnnn1C,AB4_1696699_1697642,21,Yes
Cc1nc(CNCc2cncn2C)cs1,AB71_234237_236749,48,No
COc1ccc(-c2nc(CC(=O)Nc3ncnn3C)cs2)cc1,AB12_4219_9589,32,No
Cc1nnc(NCc2cccc(-n3ccnn3)c2)cc1-c1ccccc1,AB45_797797_798470,0,No
Cc1ccc(NC(=S)NCCCc2nnnn2C)cc1,AB10_1745653_1750467,32,No
Cc1nn(C)c2ncc(C(=O)NCc3ccc(C#N)cn3)cc12,AB30_362995_373482,11,No
Cn1cc(NCc2cccc(C(N)=O)c2)cn1,AB72_238962_240826,13,No
Cc1nncn1N=Cc1cc(-c2ccccn2)n[nH]1,AB1_1471686_1473492,8,No
c1ccc(-n2cc(CNCc3nnnn3C3CC3)nn2)cc1,AB146_800917_806694,7,No
Cn1nnc2c(CNc3ccc(Oc4ccccc4)c(C#N)c3)cccc21,AB163_916288_918522,39,Yes
CCc1nnc2ccc(NCc3cn(CC)nn3)nn12,AB42_775449_780261,22,No
Brc1cn(CCNc2ccc3ncc(I)n3n2)nn1,AB42_778787_782096,12,No
Cc1cc(CNCc2cn(-c3ccccc3)nn2)ccn1,AB146_802559_806694,7,No
Cc1cnn(-c2cccc(-c3cccc(Cl)c3)c2)c1,AB170_985769_989327,25,Yes
Cn1nnnc1CCCNC(=O)NCc1cc2ccccc2[nH]1,AB80_1555716_1562894,5,No
Cc1cc(-c2ccc3nccn3c2)ccc1F,AB170_985849_987446,7,No
Cc1nn(C)c2nc(NCc3cccc(-n4ccnn4)c3)ccc12,AB42_779312_781767,0,No
Cc1nc(NC(=O)CCCCCn2cnnn2)n(-c2ccccc2)n1,AB14_34443_43686,7,No
CC(=NNc1cccc(C)n1)c1cn(-c2ccccc2)nn1,AB3_1481482_1484050,7,No
